"length","Task Name","ops/sec","Average Time (ns)","Margin","Samples"
"16","Array.from({ length }, func)","7,339,738","136.24462979543162","±0.37%","3669873"
"16","Array(length) + spread + map","2,734,297","365.7246791419135","±0.39%","1367164"
"16","Array(length) + fill + map","4,550,127","219.7740478362706","±0.46%","2275065"
"16","Array(length) + for","12,092,024","82.69914053151125","±0.39%","6046015"
"16","Array(length) + spread + for","4,886,003","204.66624238309367","±0.34%","2443003"
"16","Array(length) + spread + forEach","2,925,610","341.80905862367166","±0.42%","1462805"
"16","Array(length) + fill + forEach","4,644,785","215.29518425410373","±0.37%","2322394"
"16","[] + push","12,233,638","81.74183328215616","±0.39%","6116822"
"256","Array.from({ length }, func)","1,404,095","712.2023624319492","±0.41%","702048"
"256","Array(length) + spread + map","252,358","3962.6144043974873","±0.37%","126180"
"256","Array(length) + fill + map","430,683","2321.8925084865004","±0.70%","215342"
"256","Array(length) + for","1,795,954","556.8071342584499","±0.45%","897977"
"256","Array(length) + spread + for","419,180","2385.609101848958","±0.32%","209591"
"256","Array(length) + spread + forEach","222,383","4496.743948530469","±13.46%","111192"
"256","Array(length) + fill + forEach","422,341","2367.751671779032","±0.26%","211171"
"256","[] + push","1,078,549","927.1708300805154","±0.57%","539276"
"4096","Array.from({ length }, func)","66,159","15115.020641248488","±1.69%","33080"
"4096","Array(length) + spread + map","16,448","60794.815017097266","±0.74%","8225"
"4096","Array(length) + fill + map","26,830","37270.69779670729","±0.69%","13416"
"4096","Array(length) + for","141,821","7051.140823088828","±0.68%","70912"
"4096","Array(length) + spread + for","32,367","30894.771166738752","±0.71%","16184"
"4096","Array(length) + spread + forEach","16,847","59356.37065601259","±0.66%","8424"
"4096","Array(length) + fill + forEach","25,518","39187.32550450627","±0.52%","12760"
"4096","[] + push","80,035","12494.499545517017","±1.62%","40018"
"65536","Array.from({ length }, func)","3,045","328311.77076533943","±5.32%","1532"
"65536","Array(length) + spread + map","781","1278779.246922954","±5.08%","391"
"65536","Array(length) + fill + map","1,318","758206.8241003788","±0.88%","660"
"65536","Array(length) + for","4,234","236152.1086003895","±4.97%","2118"
"65536","Array(length) + spread + for","1,646","607412.0975235134","±0.95%","824"
"65536","Array(length) + spread + forEach","843","1184983.963085012","±6.12%","422"
"65536","Array(length) + fill + forEach","1,429","699580.3512893356","±1.10%","715"
"65536","[] + push","3,227","309798.8825464396","±7.62%","1615"
"1048576","Array.from({ length }, func)","199","5019667.96875","±11.74%","100"
"1048576","Array(length) + spread + map","43","22935134.27734375","±5.76%","100"
"1048576","Array(length) + fill + map","58","17110600.5859375","±5.29%","100"
"1048576","Array(length) + for","179","5577714.84375","±11.23%","100"
"1048576","Array(length) + spread + for","66","14965319.82421875","±8.06%","100"
"1048576","Array(length) + spread + forEach","47","21184399.4140625","±6.24%","100"
"1048576","Array(length) + fill + forEach","75","13222280.2734375","±11.39%","100"
"1048576","[] + push","121","8234272.4609375","±9.51%","100"
"16777216","Array.from({ length }, func)","3","283509414.0625","±3.05%","100"
"16777216","Array(length) + spread + map","1","524090136.71875006","±2.42%","100"
"16777216","Array(length) + fill + map","2","368505659.1796875","±1.10%","100"
"16777216","Array(length) + for","7","132926987.3046875","±1.94%","100"
"16777216","Array(length) + spread + for","4","201675393.06640625","±1.35%","100"
"16777216","Array(length) + spread + forEach","3","307277463.37890625","±0.86%","100"
"16777216","Array(length) + fill + forEach","4","246321958.0078125","±2.08%","100"
"16777216","[] + push","9","109690786.1328125","±1.84%","100"
