"length","Task Name","ops/sec","Average Time (ns)","Margin","Samples"
"16","Array.from({ length }, func)","1,556,472","642.4782650038306","±0.47%","778238"
"16","Array(length) + spread + map","11,723,367","85.29971932984385","±0.83%","5861684"
"16","Array(length) + fill + map","11,862,788","84.29721384768528","±0.82%","5931406"
"16","Array(length) + for","22,369,267","44.70418969460425","±0.84%","11184634"
"16","Array(length) + spread + for","15,072,447","66.34622389226534","±1.04%","7536239"
"16","Array(length) + spread + forEach","15,519,455","64.43524824582745","±0.80%","7759728"
"16","Array(length) + fill + forEach","12,574,723","79.5246082538539","±0.88%","6287362"
"16","[] + push","16,939,637","59.03313872483812","±1.43%","8469819"
"256","Array.from({ length }, func)","115,091","8688.718590342149","±0.56%","57546"
"256","Array(length) + spread + map","1,221,777","818.4795953453137","±2.85%","610890"
"256","Array(length) + fill + map","1,662,687","601.4357474167572","±1.79%","831344"
"256","Array(length) + for","4,402,209","227.1586731958497","±2.13%","2201109"
"256","Array(length) + spread + for","2,245,507","445.3335280929638","±2.08%","1122754"
"256","Array(length) + spread + forEach","2,438,719","410.0513219203455","±1.96%","1219362"
"256","Array(length) + fill + forEach","2,243,261","445.7795018511339","±1.39%","1121633"
"256","[] + push","1,525,696","655.4381595320178","±0.85%","762850"
"4096","Array.from({ length }, func)","7,752","128983.49239105107","±0.46%","3877"
"4096","Array(length) + spread + map","145,217","6886.226225400864","±0.72%","72609"
"4096","Array(length) + fill + map","134,099","7457.136465320318","±0.83%","67050"
"4096","Array(length) + for","423,420","2361.7170009144406","±0.74%","211718"
"4096","Array(length) + spread + for","216,377","4621.541931255524","±0.92%","108189"
"4096","Array(length) + spread + forEach","200,238","4994.037155420087","±1.12%","100120"
"4096","Array(length) + fill + forEach","164,244","6088.4770405435875","±0.85%","82123"
"4096","[] + push","124,816","8011.759993584348","±0.89%","62415"
"65536","Array.from({ length }, func)","473","2110645.5696202456","±1.54%","237"
"65536","Array(length) + spread + map","3,150","317369.3864642024","±7.33%","1581"
"65536","Array(length) + fill + map","3,889","257072.49357322798","±6.48%","1945"
"65536","Array(length) + for","9,091","109991.86097672624","±7.30%","4546"
"65536","Array(length) + spread + for","4,523","221083.55437655828","±7.97%","2262"
"65536","Array(length) + spread + forEach","4,757","210211.85372007074","±7.65%","2379"
"65536","Array(length) + fill + forEach","6,270","159476.08418371703","±5.84%","3136"
"65536","[] + push","3,154","317047.5285171099","±3.02%","1578"
"1048576","Array.from({ length }, func)","30","32878739.99999989","±0.81%","100"
"1048576","Array(length) + spread + map","182","5485919.999999897","±5.62%","100"
"1048576","Array(length) + fill + map","216","4617513.761467767","±5.15%","109"
"1048576","Array(length) + for","665","1503657.6576575069","±2.77%","333"
"1048576","Array(length) + spread + for","249","4001671.999999962","±4.25%","125"
"1048576","Array(length) + spread + forEach","256","3893837.2093021586","±3.73%","129"
"1048576","Array(length) + fill + forEach","524","1906627.3764257976","±1.10%","263"
"1048576","[] + push","130","7665149.999999849","±7.37%","100"
"16777216","Array.from({ length }, func)","1","542183530.0000001","±0.86%","100"
"16777216","Array(length) + spread + map","7","131584569.99999966","±2.54%","100"
"16777216","Array(length) + fill + map","13","76649420.00000054","±1.41%","100"
"16777216","Array(length) + for","33","29859180.000000633","±1.22%","100"
"16777216","Array(length) + spread + for","14","66729830.0000024","±4.09%","100"
"16777216","Array(length) + spread + forEach","16","60932629.9999989","±2.51%","100"
"16777216","Array(length) + fill + forEach","22","44835340.000001594","±1.17%","100"
"16777216","[] + push","7","134587069.99999908","±4.18%","100"
